Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R74,R75,R76,R77",R_0603,C21189,4
1.5kΩ,"R10,R11,R82,R84,R86,R87,R88,R89,R90,R91",R_0603,C22843,10
100kΩ,"R26,R29,R5,R6,R7,R8",R_0603,C25803,6
100nF,"C1,C15,C16,C17,C18,C25,C3,C30,C31,C36,C37,C4,C47,C48,C55,C56,C57,C58,C59,C64,C67,C68,C73,C76,C91,C92,C93",C_0603,C14663,27
100nF,"C22,C26,C27,C28,C29,C41,C45,C46,C49,C50,C51,C54,C60,C62,C63,C69,C70,C71,C72,C77,C78,C79,C80,C83,C85,C86,C87,C89,C90",C_1206,C24497,29
10kΩ,"R1,R100,R101,R102,R103,R104,R2,R3,R4,R44,R47,R48,R49,R50,R51,R52,R53,R55,R95,R96,R97,R98,R99",R_0603,C25804,23
10nF,"C13,C34,C35,C43,C44",C_0603,C57112,5
10uF,"C19,C20,C5,C6",C_0603,C19702,4
120Ω,R22,R_0603,C22787,1
15kΩ,R25,R_0603,C22809,1
1MΩ,R36,R_0603,C22935,1
1N4004W,D2,D_SOD-123FL,C18199087,1
1kΩ,"R12,R27,R54",R_0603,C21190,3
1uF,"C14,C2,C33",C_0603,C15849,3
1uF,"C10,C11,C12,C21,C42,C61,C84,C88,C9",C_1206,C24497,9
2.2nF,"C23,C24",C_0603,C1604,2
20pF,"C38,C39",C_0402,C1554,2
220Ω,"R60,R62,R63,R72,R73",R_0603,C22962,5
22uF 100V C88689,"C32,C40,C7,C8",CP_Elec_10x10,C88689,4
30kΩ,"R28,R30",R_0603,C22984,2
330pF,"C52,C53,C65,C66,C74,C75,C81,C82",C_1206,C24497,8
330Ω,"R23,R24,R31,R32",R_0603,C23138,4
33Ω,"R13,R14,R15,R16,R17,R18,R19,R20,R21,R33,R34,R35,R37,R38,R39,R40,R41,R42,R43",R_0603,C23140,19
47kΩ,"R108,R78,R79,R80,R9",R_0603,C25819,5
5.1kΩ,"R45,R46",R_0603,C23186,2
AMS1117,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
BZT52C3V3S,D18,D_SOD-323,C19077437,1
BZT52C3V9S,"D8,D9",D_SOD-323,C22375299,2
"Connector, USB-TYPE-C-16P",J2,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
H3V3HT2B,"D12,D13",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20617923,2
H5VL06B,D7,D_DFN0603-2L,C7420373,1
LTV-217-B-G,"U10,U11,U5",SOP-4_4.4x2.6mm_P1.27mm,C115450,3
SRV05-4_C7420376,"D10,D11,D14,D16,D17,D5,D6",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,C7420376,7
SS220,D15,D_SMA,C7420361,1
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,1
White,"D1,D3,D4",D_0603,C2290,3
X50328MSB2GI,X1,CRYSTAL-SMD_L5.0-W3.2,C115962,1
~,FB1,FB_0603,C1002,1
SM06B-SRSS-TBLFSN,J4,CONN_SM06B-SRSS-TB_JST,,1
AJT65B8813,J3,RJ45_HALO_HFJ11-x2450HRL_Horizontal,,1
AJT65B8813,J1,RJ45_HALO_HFJ11-x2450HRL_Horizontal,,1
AM26LV32xD,U3,SOIC-16_3.9x9.9mm_P1.27mm,,1
CH32V30xVxTx,U1,LQFP-100_14x14mm_P0.5mm,,1
LM5012DDAR,U6,DDA0008E-MFG,,1
ISO1044BD,U8,TSOT-23-8,,1
XGL1010-122MED,L3,L_Coilcraft_XAL1010-XXX,,1
AJT65B8813,J7,RJ45_HALO_HFJ11-x2450HRL_Horizontal,,1
XGL1010-122MED,L5,L_Coilcraft_XAL1010-XXX,,1
~,H2,"Hole, 3mm",,1
~,H1,"Hole, 3mm",,1
~,H3,"Hole, 3mm",,1
AJT65B8813,J9,RJ45_HALO_HFJ11-x2450HRL_Horizontal,,1
ACS37032LLZATR-065B3,U15,SOIC6_LZ_ALM,,1
ACS37032LLZATR-065B3,U17,SOIC6_LZ_ALM,,1
RJ45_Hanrun_HR911105A_Horizontal,J5,RJ45_Hanrun_HR911105A_Horizontal,,1
AJT65B8813,J8,RJ45_HALO_HFJ11-x2450HRL_Horizontal,,1
XGL1010-122MED,L2,L_Coilcraft_XAL1010-XXX,,1
691256610006,J6,691256610006,,1
XGL1010-122MED,L1,L_Coilcraft_XAL1010-XXX,,1
Thermistor_NTC_US,TH1,R_0603_1608Metric,,1
LMG2100R026VBNR,U19,VBN0018A-MFG,,1
LMG2100R026VBNR,U12,VBN0018A-MFG,,1
XGL4040-223MEC,L4,L_Coilcraft_XAL4040-XXX,,1
Thermistor_NTC_US,TH2,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,1
SN74LVC7001ABQAR,U14,PW14,,1
2Ohm 0805 Thick FIlm Resistor,R106,R_0805_2012Metric,,1
2Ohm 0805 Thick FIlm Resistor,R94,R_0805_2012Metric,,1
Conn_01x04,J10,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,,1
2Ohm 0805 Thick FIlm Resistor,R105,R_0805_2012Metric,,1
SN74LVC2G06-Q1,U7,SOT-23-6,,1
SN74LVC2G06-Q1,U9,SOT-23-6,,1
LMG2100R026VBNR,U16,VBN0018A-MFG,,1
AM26LV32xD,U4,SOIC-16_3.9x9.9mm_P1.27mm,,1
2Ohm 0805 Thick FIlm Resistor,R107,R_0805_2012Metric,,1
SN74LVC7001ABQAR,U13,PW14,,1
LMG2100R026VBNR,U18,VBN0018A-MFG,,1
