Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206,158.68,-60.2,0.0,top
C10,1uF,C_0603,148.24,-100.0,0.0,top
C11,1uF,C_0603,159.59,-99.951319,0.0,top
C12,100uF 50V C311622,CP_Elec_6.3x7.7,134.64,-105.118681,-90.0,top
C13,10uF,C_1206,143.24,-99.2,0.0,top
C14,2.2uF,C_1206,145.44,-109.6,0.0,top
C15,2.2uF,C_1206,157.035639,-109.5101,0.0,top
C16,1uF,C_0603,148.65,-112.24,0.0,top
C17,1uF,C_0603,159.8,-112.191319,0.0,top
C18,100uF 50V C311622,CP_Elec_6.3x7.7,134.6,-117.7,90.0,top
C19,10uF,C_1206,143.73,-124.44,0.0,top
C2,10uF,C_1206,158.88,-67.2,0.0,top
C20,2.2uF,C_1206,146.05,-121.84,0.0,top
C21,2.2uF,C_1206,157.6,-121.791319,0.0,top
C22,1uF,C_0603,148.25,-129.64,0.0,top
C23,1uF,C_0603,159.6,-129.591319,0.0,top
C24,100uF 50V C311622,CP_Elec_6.3x7.7,134.825,-135.286942,-90.0,top
C25,10uF,C_1206,143.73,-128.04,0.0,top
C26,2.2uF,C_1206,145.65,-139.24,0.0,top
C27,2.2uF,C_1206,157.0,-139.191319,0.0,top
C28,10nF,C_0603,153.44,-82.38,90.0,top
C29,10nF,C_0603,153.39,-96.751319,90.0,top
C3,1uF,C_0603,157.98,-62.2,180.0,top
C30,10nF,C_0603,150.6,-111.98,90.0,top
C31,10nF,C_0603,153.8,-125.171319,90.0,top
C32,10uF,C_1206,154.8,-73.68,-90.0,top
C33,10uF,C_1206,152.0,-73.68,-90.0,top
C34,10uF,C_1206,149.2,-73.72,90.0,top
C35,10uF,C_1206,146.4,-73.68,90.0,top
C36,100nF,C_0603,157.98,-63.6,180.0,top
C37,100nF,C_0603,134.96,-70.4,0.0,top
C38,20pF,C_0402,135.3,-60.0,0.0,top
C39,20pF,C_0402,135.2,-67.8,0.0,top
C4,1uF,C_0603,148.64,-85.8,0.0,top
C40,1uF,C_0603,151.65,-55.62,90.0,top
C41,10uF,C_1206,127.68,-73.2,180.0,top
C42,100nF,C_0603,126.88,-81.0,180.0,top
C5,1uF,C_0603,160.39,-84.351319,0.0,top
C6,100uF 50V C311622,CP_Elec_6.3x7.7,134.62,-89.0,90.0,top
C7,10uF,C_1206,143.24,-96.6,0.0,top
C8,2.2uF,C_1206,146.04,-94.0,0.0,top
C9,2.2uF,C_1206,157.59,-93.951319,0.0,top
D1,White,D_0603,129.19,-70.2,0.0,top
D2,SK1010C,D_SMC,148.6,-49.8,180.0,top
D3,White,D_0603,125.0,-47.8,90.0,top
D4,White,D_0603,127.6,-47.81,90.0,top
D5,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,130.2,-61.2,90.0,top
D6,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,130.2,-65.2,90.0,top
