Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,171.555,-62.745,-90.0,top
C10,1uF,C_1206,124.4,-95.8,0.0,bottom
C11,1uF,C_1206,153.0,-93.4,0.0,bottom
C12,1uF,C_1206,138.68,-98.2,0.0,bottom
C13,10nF,C_0603,164.0,-77.62,270.0,bottom
C14,1uF,C_0603,103.4,-134.22,270.0,bottom
C15,100nF,C_0603,124.97,-61.11,180.0,bottom
C16,100nF,C_0603,173.2,-65.6,0.0,top
C17,100nF,C_0603,128.57,-61.11,180.0,bottom
C18,100nF,C_0603,178.37,-59.699998,180.0,bottom
C19,10uF,C_0603,178.39,-61.199998,180.0,bottom
C2,1uF,C_0603,103.305,-112.885,270.0,bottom
C20,10uF,C_0603,178.42,-62.699998,180.0,bottom
C21,1uF,C_1206,175.72,-78.299998,0.0,bottom
C22,100nF,C_1206,170.92,-78.299998,180.0,bottom
C23,2.2nF,C_0603,174.0,-66.899998,90.0,bottom
C24,2.2nF,C_0603,175.18,-62.699998,180.0,bottom
C25,100nF,C_0603,169.8,-66.899998,270.0,bottom
C26,100nF,C_1206,109.8,-100.8,0.0,bottom
C27,100nF,C_1206,124.48,-100.6,0.0,bottom
C28,100nF,C_1206,138.68,-100.6,0.0,bottom
C29,100nF,C_1206,152.971778,-100.646175,0.0,bottom
C3,100nF,C_0603,121.8,-61.2,180.0,top
C30,100nF,C_0603,119.4,-73.4,180.0,top
C31,100nF,C_0603,100.4,-72.8,90.0,top
C32,22uF 100V C88689,CP_Elec_10x10,129.15,-82.15,180.0,top
C33,1uF,C_0603,92.58,-60.565,-90.0,top
C34,10nF,C_0603,119.9,-138.42,90.0,bottom
C35,10nF,C_0603,132.2,-138.45,90.0,bottom
C36,100nF,C_0603,101.42,-56.4,0.0,top
C37,100nF,C_0603,167.0,-77.62,-90.0,top
C38,20pF,C_0402,111.6,-67.8,180.0,bottom
C39,20pF,C_0402,111.5,-63.6,180.0,bottom
C4,100nF,C_0603,178.42,-63.8,0.0,top
C40,22uF 100V C88689,CP_Elec_10x10,158.1,-82.05,180.0,top
C41,100nF,C_1206,113.68,-92.8,0.0,top
C42,1uF,C_1206,113.6,-95.2,0.0,top
C43,10nF,C_0603,144.3,-138.48,90.0,bottom
C44,10nF,C_0603,155.85,-138.6,90.0,bottom
C45,100nF,C_1206,113.6,-97.6,0.0,top
C46,100nF,C_1206,113.52,-100.0,0.0,top
C47,100nF,C_0603,116.2,-87.8,0.0,bottom
C48,100nF,C_0603,111.6,-90.4,270.0,bottom
C49,100nF,C_1206,128.08,-93.0,0.0,top
C5,10uF,C_0603,164.62,-58.37,0.0,bottom
C50,100nF,C_1206,109.88,-93.4,0.0,bottom
C51,100nF,C_1206,109.86,-95.9,0.0,bottom
C52,330pF,C_1206,124.2,-106.2,0.0,top
C53,330pF,C_1206,116.0,-120.8,180.0,top
C54,100nF,C_1206,113.52,-104.2,0.0,bottom
C55,100nF,C_0603,140.8194,-67.749999,180.0,bottom
C56,100nF,C_0603,140.6194,-73.949999,180.0,bottom
C57,100nF,C_0603,112.8,-105.6,90.0,top
C58,100nF,C_0603,140.4,-90.48,270.0,bottom
C59,100nF,C_0603,144.78,-87.8,0.0,bottom
C6,10uF,C_0603,161.6,-58.37,0.0,bottom
C60,100nF,C_1206,142.0,-104.2,0.0,bottom
C61,1uF,C_1206,128.08,-95.35,0.0,top
C62,100nF,C_1206,138.68,-93.4,0.0,bottom
C63,100nF,C_1206,138.68,-95.8,0.0,bottom
C64,100nF,C_0603,141.0,-105.02,90.0,top
C65,330pF,C_1206,152.4,-106.2,0.0,top
C66,330pF,C_1206,140.92,-120.4,180.0,top
C67,100nF,C_0603,125.95,-90.45,270.0,bottom
C68,100nF,C_0603,130.58,-87.8,0.0,bottom
C69,100nF,C_1206,127.2,-104.4,0.0,bottom
C7,22uF 100V C88689,CP_Elec_10x10,172.72,-102.85,0.0,top
C70,100nF,C_1206,128.07,-97.8,0.0,top
C71,100nF,C_1206,124.4,-98.2,0.0,bottom
C72,100nF,C_1206,124.4,-93.4,0.0,bottom
C73,100nF,C_0603,154.75,-90.45,270.0,bottom
C74,330pF,C_1206,129.4,-106.2,180.0,top
C75,330pF,C_1206,128.8,-120.2,180.0,top
C76,100nF,C_0603,159.4,-87.8,0.0,bottom
C77,100nF,C_1206,156.2,-104.6,0.0,bottom
C78,100nF,C_1206,128.07,-100.2,0.0,top
C79,100nF,C_1206,153.0,-95.8,0.0,bottom
C8,22uF 100V C88689,CP_Elec_10x10,172.72,-114.7,0.0,top
C80,100nF,C_1206,153.0,-98.2,0.0,bottom
C81,330pF,C_1206,164.6,-106.2,0.0,top
C82,330pF,C_1206,162.8,-120.2,0.0,top
C83,100nF,C_1206,142.08,-93.2,0.0,top
C84,1uF,C_1206,142.08,-95.6,0.0,top
C85,100nF,C_1206,142.08,-97.95,0.0,top
C86,100nF,C_1206,142.08,-100.4,0.0,top
C87,100nF,C_1206,156.68,-93.0,0.0,top
C88,1uF,C_1206,156.68,-95.4,0.0,top
C89,100nF,C_1206,156.68,-97.9,0.0,top
C9,1uF,C_1206,109.86,-98.4,0.0,bottom
C90,100nF,C_1206,156.68,-100.4,0.0,top
C91,100nF,C_0603,135.8,-58.02,90.0,top
C92,100nF,C_0603,131.2,-74.4,180.0,bottom
C93,100nF,C_0603,92.575,-99.48,180.0,bottom
D1,White,D_0603,164.99,-63.4,0.0,top
D10,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,101.8,-132.6,0.0,top
D11,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,101.8,-128.2,0.0,top
D12,H3V3HT2B,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,174.905,-58.345,0.0,top
D13,H3V3HT2B,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,93.8,-72.55,90.0,top
D14,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,99.8,-86.8,270.0,top
D15,SS220,D_SMA,178.1,-72.599998,270.0,bottom
D16,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,101.705,-111.885,0.0,top
D17,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,101.705,-107.385,0.0,top
D18,BZT52C3V3S,D_SOD-323,92.545,-97.68,0.0,bottom
D2,1N4004W,D_SOD-123FL,84.8,-65.35,0.0,top
D3,White,D_0603,158.8,-58.01,90.0,top
D4,White,D_0603,157.0,-58.01,90.0,top
D5,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,147.8,-58.8,90.0,bottom
D6,SRV05-4_C7420376,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,153.2,-59.0,90.0,bottom
D7,H5VL06B,D_DFN0603-2L,169.555,-62.945,-90.0,top
D8,BZT52C3V9S,D_SOD-323,165.2,-77.67,90.0,top
D9,BZT52C3V9S,D_SOD-323,178.22,-66.6,180.0,top
FB1,~,FB_0603,84.61,-65.35,180.0,bottom
H1,~,"Hole, 3mm",111.2,-48.2,0.0,top
H2,~,"Hole, 3mm",101.91,-118.71,0.0,top
H3,~,"Hole, 3mm",175.9,-84.45,0.0,top
J1,AJT65B8813,RJ45_HALO_HFJ11-x2450HRL_Horizontal,130.055,-49.1925,180.0,top
J10,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,140.4,-56.81,270.0,bottom
J2,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,85.6875,-72.2,-90.0,top
J3,AJT65B8813,RJ45_HALO_HFJ11-x2450HRL_Horizontal,87.5875,-130.15,-90.0,top
J4,SM06B-SRSS-TBLFSN,CONN_SM06B-SRSS-TB_JST,84.373599,-88.9,-90.0,top
J5,RJ45_Hanrun_HR911105A_Horizontal,RJ45_Hanrun_HR911105A_Horizontal,91.0,-49.85,180.0,top
J6,691256610006,691256610006,149.44,-129.62,0.0,top
J7,AJT65B8813,RJ45_HALO_HFJ11-x2450HRL_Horizontal,170.005,-49.1325,180.0,top
J8,AJT65B8813,RJ45_HALO_HFJ11-x2450HRL_Horizontal,87.5875,-110.6,-90.0,top
J9,AJT65B8813,RJ45_HALO_HFJ11-x2450HRL_Horizontal,150.4,-49.1875,180.0,top
L1,XGL1010-122MED,L_Coilcraft_XAL1010-XXX,146.92,-113.55,-90.0,top
L2,XGL1010-122MED,L_Coilcraft_XAL1010-XXX,159.4,-113.4,-90.0,top
L3,XGL1010-122MED,L_Coilcraft_XAL1010-XXX,133.8,-113.4,-90.0,top
L4,XGL4040-223MEC,L_Coilcraft_XAL4040-XXX,177.6,-65.899998,90.0,bottom
L5,XGL1010-122MED,L_Coilcraft_XAL1010-XXX,121.0,-113.4,-90.0,top
R1,10kΩ,R_0603,101.36,-62.4,180.0,bottom
R10,1.5kΩ,R_0603,168.4,-77.6,90.0,top
R100,10kΩ,R_0603,140.6194,-76.749999,180.0,bottom
R101,10kΩ,R_0603,140.6194,-75.349999,180.0,bottom
R102,10kΩ,R_0603,152.8194,-75.549999,180.0,bottom
R103,10kΩ,R_0603,152.8194,-77.149999,0.0,bottom
R104,10kΩ,R_0603,152.8194,-73.949999,180.0,bottom
R105,2Ohm 0805 Thick FIlm Resistor,R_0805_2012Metric,146.2875,-104.2,0.0,bottom
R106,2Ohm 0805 Thick FIlm Resistor,R_0805_2012Metric,131.4,-104.4,0.0,bottom
R107,2Ohm 0805 Thick FIlm Resistor,R_0805_2012Metric,160.2,-104.4,0.0,bottom
R108,47kΩ,R_0603,121.65,-138.45,270.0,bottom
R11,1.5kΩ,R_0603,178.42,-62.4,180.0,top
R12,1kΩ,R_0603,178.42,-61.0,0.0,top
R13,33Ω,R_0603,97.725,-111.885,0.0,top
R14,33Ω,R_0603,97.725,-110.385,0.0,top
R15,33Ω,R_0603,97.725,-108.885,0.0,top
R16,33Ω,R_0603,97.84,-132.6,0.0,top
R17,33Ω,R_0603,97.82,-131.2,0.0,top
R18,33Ω,R_0603,97.82,-129.8,0.0,top
R19,33Ω,R_0603,97.82,-134.0,0.0,top
R2,10kΩ,R_0603,101.38,-61.0,180.0,bottom
R20,33Ω,R_0603,97.82,-127.0,0.0,top
R21,33Ω,R_0603,97.82,-128.4,0.0,top
R22,120Ω,R_0603,175.2,-57.2,0.0,bottom
R23,330Ω,R_0603,126.57,-57.91,90.0,top
